Kołobrzeg,Koszalin,42,
Koszalin,Ustka,75,
Ustka,Gdynia,127,
Gdynia,Hel,74,
Gdynia,Gdańsk,21.6,
Gdańsk,Olsztyn,136,
Olsztyn,Białystok,238,
Białystok,Lublin,252,
Lublin,Rzeszów,168,
Rzeszów,Kraków,176,
Kraków,Katowice,80,
Katowice,Częstochowa,73,
Częstochowa,Kielce,132,
Kraków,Kielce,115,
Rzeszów,Kielce,163,
Lublin,Kielce,176,
Kielce,Radom,77,
Lublin,Radom,116,
Radom,Warszawa,102,
Warszawa,Białystok,199,
Radom,Łódź,136,
Częstochowa,Łódź,124,
Warszawa,Łódź,128,
Łódź,Toruń,179,
Toruń,Warszawa,210,
Toruń,Olsztyn,176,
Toruń,Gdańsk,170,
Bydgoszcz,Toruń,45,
Bydgoszcz,Poznań,142,
Poznań,Toruń,161,
Poznań,Gorzów Wielkopolski,170,
Poznań,Zielona Góra,155,
Gorzów Wielkopolski,Zielona Góra,119,
Zielona Góra,Wrocław,156,
Gorzów Wielkopolski,Szczecin,111,
Olsztyn,Suwałki,196,
Suwałki,Białystok,123,
Suwałki,Warszawa,279,
Warszawa,Lublin,169,
Szczecin,Piła,173,
Dziwnów,Gryfice,42.7,
Piła,Poznań,102,
Piła,Bydgoszcz,89,
Piła,Koszalin,141,
Poznań,Kalisz,143,
Łódź,Kalisz,112,
Dziwnów,Kołobrzeg,65.9,
Jelenia Góra,Kłodzko,105,
Opole,Kłodzko,107,
Jelenia Góra,Zielona Góra,148,
Opole,Katowice,114,
Opole,Częstochowa,97,
Kraków,Zakopane,108,
Rzeszów,Ustrzyki Dolne,115,
Zakopane,Ustrzyki Dolne,265,
Lublin,Zamość,87,
Rzeszów,Zamość,158,
Świnoujście,Anklam,49.3,
Anklam,Pasewalk,47.1,
Anklam,Police,84,
Police,Szczecin,15.9,
Szczecin,Pasewalk,41.2,
Międzyzdroje,Wolin,18.3,
Wolin,Kamień Pomorski,22.6,
Kamień Pomorski,Dziwnów,12.2,
Dziwnów,Wolin,26.7,
Dziwnów,Międzyzdroje,27,
Kamień Pomorski,Gryfice,32.7,
Wolin,Golczewo,28.4,
Kamień Pomorski,Golczewo,22,
Kamień Pomorski,Goleniów,51.7,
Wolin,Goleniów,43.8,
Goleniów,Nowogard,25,
Goleniów,Szczecin,37.8,
Nowogard,Golczewo,21.8,
Nowogard,Gryfice,32.8,
Golczewo,Gryfice,22.7,
Nowogard,Kołobrzeg,70.8,
Nowogard,Koszalin,96.7,
Wrocław,Trzebnica,26.4,
Wrocław,Oborniki Śląskie,26,
Trzebnica,Oborniki Śląskie,11.9,
Brzeg Dolny,Oborniki Śląskie,18.1,
Brzeg Dolny,Środa Śląska,23.9,
Brzeg Dolny,Wrocław,38.1,
Wrocław,Kobierzyce,22.5,
Wrocław,Długołęka,17.4,
Wrocław,Łany,13.5,
Wrocław,Siechnice,12,
Wrocław,Środa Śląska,32.8,
Łany,Jelcz-Laskowice,14.4,
Łany,Siechnice,8.9,
Łany,Długołęka,21,
Długołęka,Oleśnica,13.8
Długołęka,Trzebnica,19.9,
Trzebnica,Poznań,143,
Trzebnica,Kalisz,103,
Oleśnica,Kalisz,89.2,
Oleśnica,Namysłów,30,
Namysłów,Jelcz-Laskowice,40.3,
Jelcz-Laskowice,Oława,10.9,
Brzeg,Oława,17,
Brzeg,Opole,48,
Opole,Namysłów,54.5,
Kobierzyce,Kłodzko,69.2,
Kobierzyce,Oława,33.5,
Kobierzyce,Środa Śląska,45.4,
Środa Śląska,Legnica,38.6,
Środa Śląska,Lubin,40.9,
Lubin,Legnica,25,
Legnica,Jelenia Góra,58.3,
Lubin,Zielona Góra,82.3,
Lubin,Oborniki Śląskie,57.4,
